date,n_stocks,c_obs,c_surr_mean,gap,z,meta_pulse,top_tickers
2023-04-28,20,0.8807175897696424,0.017291630643113322,0.8634259591265291,6.0,0.9955037268390589,"SPYG, PRWCX, JNK, HYG, QUAL"
2023-05-30,20,0.8730386226919192,0.017025262531397325,0.8560133601605219,6.0,0.9955037268390589,"SPYG, PRWCX, JNK, IWF, HYG"
2023-06-29,20,0.8664981767826897,0.017171168046331724,0.849327008736358,6.0,0.9955037268390589,"SPYG, PRWCX, JNK, HYG, PRGFX"
2023-07-31,20,0.8149743970200464,0.01640320318598056,0.7985711938340658,6.0,0.9955037268390589,"SPYG, PRWCX, PRGFX, MTUM, TRLGX"
2023-08-29,20,0.8695813690804525,0.01649551599705068,0.8530858530834018,6.0,0.9955037268390589,"SPYG, PRWCX, BAL, MTUM, MPLX"
2023-09-28,20,0.7922578560942098,0.016908278906088304,0.7753495771881216,6.0,0.9955037268390589,"BAL, MPLX, SPYG, JO, PRWCX"
2023-10-27,20,0.8047692744385636,0.016109252083571567,0.788660022354992,6.0,0.9955037268390589,"BAL, JO, NIB, MPLX, SPYG"
2023-11-28,20,0.8144895211581166,0.016910801725933206,0.7975787194321834,6.0,0.9955037268390589,"NIB, BAL, JO, MPLX, SPYG"
2023-12-28,20,0.8281448727264835,0.01636058996985328,0.8117842827566303,6.0,0.9955037268390589,"NIB, BAL, JO, SPYG, MPLX"
2024-01-30,20,0.8418159063993489,0.01742823935647266,0.8243876670428762,6.0,0.9955037268390589,"NIB, BAL, JO, SPYG, MPLX"
2024-02-29,20,0.8711519694283215,0.01746739217715249,0.853684577251169,6.0,0.9955037268390589,"NIB, JO, BAL, MPLX, SPYG"
2024-04-01,20,0.8743735371169479,0.016691652017721,0.8576818850992268,6.0,0.9955037268390589,"NIB, BAL, JO, MPLX, SPYG"
2024-04-30,20,0.873435975646611,0.016505451005070285,0.8569305246415407,6.0,0.9955037268390589,"NIB, BAL, JO, MPLX, PRWCX"
2024-05-30,20,0.7297998019616447,0.01791775949346496,0.7118820424681798,6.0,0.9955037268390589,"NIB, JO, BAL, MPLX, DBA"
2024-07-01,20,0.7303995721176043,0.01659441072036908,0.7138051613972353,6.0,0.9955037268390589,"NIB, JO, BAL, MPLX, PRWCX"
2024-07-31,20,0.8355756339222044,0.016235968105258965,0.8193396658169454,6.0,0.9955037268390589,"JO, NIB, BAL, MPLX, PRWCX"
2024-08-29,20,0.7378518321280836,0.01578706018614074,0.7220647719419429,6.0,0.9955037268390589,"NIB, JO, BAL, MPLX, PRWCX"
2024-09-30,20,0.6379933737396971,0.015979030913133054,0.6220143428265641,6.0,0.9955037268390589,"JO, NIB, BAL, MPLX, DBA"
2024-10-29,20,0.3883133701157557,0.01640169703107582,0.3719116730846799,6.0,0.9955037268390589,"NIB, BAL, JO, MPLX, DBA"
2024-11-27,20,0.3119093524480274,0.014353125083722237,0.2975562273643052,6.0,0.9955037268390589,"NIB, JO, BAL, DBA, BKLN"
2024-12-30,20,0.22488866527790244,0.015617533451037077,0.20927113182686535,6.0,0.9955037268390589,"JO, BAL, NIB, DBA, FM"
2025-01-31,20,0.17609525873780432,0.016813933960007726,0.1592813247777966,6.0,0.9955037268390589,"JO, BAL, NIB, DBA, FM"
2025-03-04,20,0.14499540083344448,0.015361048501849581,0.1296343523315949,6.0,0.9955037268390589,"JO, BAL, NIB, FM, MPLX"
2025-04-02,20,0.10582814145029311,0.01534404967257843,0.09048409177771467,6.0,0.9955037268390589,"NIB, BAL, JO, FM, MPLX"
2025-05-02,20,0.3807182140830958,0.015503618301252877,0.36521459578184295,6.0,0.9955037268390589,"FM, JO, NIB, MPLX, HFFG"
2025-06-03,20,0.4223083102546626,0.015700529539451818,0.40660778071521075,6.0,0.9955037268390589,"FM, IAU, GLD, MPLX, ARR"
2025-07-03,20,0.6778335135062408,0.016438566428216488,0.6613949470780243,6.0,0.9955037268390589,"IAU, GLD, GME, DBA, JEF"
2025-08-04,20,0.60951869632155,0.01571497504392646,0.5938037212776235,6.0,0.9955037268390589,"IAU, GLD, GME, PPLT, SPYG"
2025-09-03,20,0.5521666916590111,0.01579684659887203,0.5363698450601391,6.0,0.9955037268390589,"IAU, GLD, GME, SPYG, MTUM"
2025-10-02,20,0.7752081364404595,0.017046128679724486,0.7581620077607351,6.0,0.9955037268390589,"IAU, GME, GLD, SPYG, MTUM"
2025-10-31,20,0.7416172261813408,0.01732709698084156,0.7242901292004993,6.0,0.9955037268390589,"MTUM, GME, SPYG, VUG, IWF"
2025-12-02,20,0.6773440151793201,0.016838571677498387,0.6605054435018217,6.0,0.9955037268390589,"GME, IAU, GLD, MTUM, VUG"
2026-01-02,20,0.6707870672809118,0.017072740339754533,0.6537143269411572,6.0,0.9955037268390589,"GME, IAU, GLD, DBA, MTUM"
2026-02-03,20,0.6092485635398575,0.01623615559503967,0.5930124079448178,6.0,0.9955037268390589,"GME, PPLT, DBA, VUG, MTUM"
2026-03-05,20,0.308779726314638,0.017178552537409093,0.29160117377722894,6.0,0.9955037268390589,"FM, SIVR, PPLT, SLV, DBA"
2026-04-06,20,0.2883874856787039,0.017882230415496105,0.27050525526320784,6.0,0.9955037268390589,"PPLT, SIVR, DBA, SJNK, SHYG"
