r_returns,r_envelope,c_surr_mean,c_surr_std,gap,z,meta_pulse,group,tickers
0.3305279674496464,0.3414824826160557,0.00795760795364655,0.005016628086360073,0.33352487466240915,6.0,0.9955037268390589,CORE,"PGX, COMT, SPYG, AL, FRPT"
0.4037478157106972,0.41635793062643783,0.008373057687269212,0.00510794591235218,0.40798487293916863,6.0,0.9955037268390589,CORE,"PPLT, PALL, VOO, SJNK, WCLD"
0.3252884637387405,0.3507258447672046,0.008363892905801288,0.005820075640497853,0.3423619518614033,6.0,0.9955037268390589,CORE,"FDS, TRRNX, PGX, WTI, UMC"
0.4953338788148211,0.4805762298060911,0.009478932832631402,0.005244202500043398,0.4710972969734597,6.0,0.9955037268390589,CORE,"XLY, RHI, XLC, ARR, SFTBY"
0.33407972154413457,0.35461286266806674,0.008261667483855371,0.006221286550070599,0.34635119518421137,6.0,0.9955037268390589,CORE,"PRDGX, DIA, EIX, XLC, HFFG"
0.26224408633477836,0.2547627576790369,0.008473395769603608,0.005444365729506164,0.2462893619094333,6.0,0.9955037268390589,CORE,"PALL, EA, UNG, ET, PRGFX"
0.505638067691152,0.5538953032460627,0.009004137308602531,0.005172156509746173,0.5448911659374602,6.0,0.9955037268390589,CORE,"NGD, EMB, DGRO, HUN, PREIX"
0.38331331961486886,0.40829677298226663,0.009089915748945554,0.005071870974166128,0.39920685723332106,6.0,0.9955037268390589,CORE,"VNDA, FRPT, FZROX, VIG, VTSAX"
0.4107381199435199,0.4487717223129546,0.0076269615273332585,0.004553517477282837,0.4411447607856213,6.0,0.9955037268390589,CORE,"ARR, GLD, VTI, EPD, NSP"
0.3395820201452092,0.353427036614883,0.008160830707264987,0.004566457975433053,0.34526620590761803,6.0,0.9955037268390589,CORE,"DIA, PALL, AGI, GME, HUN"
0.40489487548944925,0.4307682136324895,0.007882725520220174,0.004630634113909885,0.42288548811226934,6.0,0.9955037268390589,CORE,"PGX, EA, SHOO, EIX, PRILX"
0.4816993203665116,0.49449167731696375,0.007961076939465666,0.005509209378456171,0.48653060037749807,6.0,0.9955037268390589,CORE,"BVN, VFIAX, FNDX, EIX, FINX"
0.3091137621505035,0.3332225271203033,0.008246125088702936,0.0053250108861934336,0.3249764020316004,6.0,0.9955037268390589,CORE,"PALL, SHOO, STX, CTLP, UNG"
0.4859706267467737,0.4985631078011115,0.009557316585159738,0.0044364459569246895,0.4890057912159518,6.0,0.9955037268390589,CORE,"DIA, FNDX, HFFG, FCNTX, ARKW"
