date,core,tactical,ineligible
2021-09-30,0.15972747918243754,0.2937168811506434,0.546555639666919
2021-10-29,0.23809523809523808,0.32653061224489793,0.43537414965986393
2021-11-30,0.2129420617005267,0.28969149736644095,0.49736644093303234
2021-12-31,0.26109857035364936,0.31376975169300225,0.4251316779533484
2022-01-31,0.2626034612490594,0.27012791572610984,0.4672686230248307
2022-02-28,0.26766917293233083,0.2864661654135338,0.44586466165413535
2022-03-31,0.3408408408408408,0.34384384384384387,0.3153153153153153
2022-04-29,0.3663663663663664,0.34459459459459457,0.28903903903903905
2022-05-31,0.2972972972972973,0.3551051051051051,0.3475975975975976
2022-06-30,0.18829707426856715,0.3878469617404351,0.42385596399099773
2022-07-29,0.30884557721139433,0.3793103448275862,0.3118440779610195
2022-08-31,0.2901049475262369,0.33883058470764615,0.37106446776611696
2022-09-30,0.22713643178410794,0.37181409295352325,0.40104947526236884
2022-10-31,0.30359820089955025,0.2946026986506747,0.4017991004497751
2022-11-30,0.28335832083958024,0.30359820089955025,0.41304347826086957
2022-12-30,0.34782608695652173,0.32908545727136435,0.3230884557721139
2023-01-31,0.41379310344827586,0.32158920539730135,0.2646176911544228
2023-02-28,0.2683658170914543,0.36281859070464767,0.36881559220389803
2023-03-31,0.15592203898050974,0.29160419790104947,0.5524737631184408
2023-04-28,0.3073463268365817,0.3530734632683658,0.3395802098950525
2023-05-31,0.26292134831460673,0.32059925093632957,0.41647940074906364
2023-06-30,0.22247191011235956,0.33857677902621724,0.4389513108614232
2023-07-31,0.1902621722846442,0.27790262172284647,0.5318352059925093
2023-08-31,0.2028443113772455,0.31736526946107785,0.47979041916167664
2023-09-29,0.17352281226626776,0.29768137621540763,0.5287958115183246
2023-10-31,0.23784592370979807,0.35153328347045626,0.4106207928197457
2023-11-30,0.3445440956651719,0.3579970104633782,0.2974588938714499
2023-12-29,0.3041853512705531,0.33408071748878926,0.3617339312406577
2024-01-31,0.32262882748319643,0.3457804331590739,0.33159073935772965
2024-02-29,0.1508588498879761,0.35399551904406273,0.49514563106796117
2024-03-28,0.19940253920836445,0.3793876026885736,0.421209858103062
2024-04-30,0.24346527259148618,0.3457804331590739,0.4107542942494399
2024-05-31,0.17787742899850523,0.33707025411061287,0.4850523168908819
2024-06-28,0.226457399103139,0.3251121076233184,0.4484304932735426
2024-07-31,0.24439461883408073,0.33482810164424515,0.42077727952167415
2024-08-30,0.3781763826606876,0.3213751868460389,0.3004484304932735
2024-09-30,0.3572496263079223,0.34678624813153963,0.29596412556053814
2024-10-31,0.3400597907324365,0.3579970104633782,0.30194319880418535
2024-11-29,0.1547085201793722,0.3602391629297459,0.4850523168908819
2024-12-31,0.17040358744394618,0.3109118086696562,0.5186846038863976
2025-01-31,0.21150971599402094,0.3452914798206278,0.4431988041853513
2025-02-28,0.14499252615844543,0.31988041853512705,0.5351270553064275
2025-03-31,0.2750373692077728,0.3146487294469357,0.4103139013452915
2025-04-30,0.3064275037369208,0.4282511210762332,0.26532137518684606
2025-05-30,0.2742899850523169,0.40582959641255606,0.31988041853512705
2025-06-30,0.3923766816143498,0.3744394618834081,0.23318385650224216
2025-07-31,0.45067264573991034,0.3579970104633782,0.19133034379671152
2025-08-29,0.17937219730941703,0.34379671150971597,0.476831091180867
2025-09-30,0.21300448430493274,0.34678624813153963,0.44020926756352763
2025-10-31,0.22122571001494767,0.3654708520179372,0.4133034379671151
2025-11-28,0.18834080717488788,0.32884902840059793,0.4828101644245142
2025-12-31,0.2608370702541106,0.3744394618834081,0.36472346786248133
2026-01-30,0.19506726457399104,0.3086696562032885,0.4962630792227205
2026-02-27,0.3086696562032885,0.32286995515695066,0.3684603886397608
2026-03-31,0.4118086696562033,0.27204783258594917,0.31614349775784756
2026-04-30,0.3004484304932735,0.33408071748878926,0.3654708520179372
