,q10,q25,q50,q75,q90
2021-09-30,0.2241715346390363,0.3457775999703784,0.5152562360858839,0.690650856097298,0.8087906962445679
2021-10-29,0.29578358742668026,0.4156008919037665,0.5907347436004285,0.7414093719610386,0.8474564309351206
2021-11-30,0.2394252852911731,0.3691971413499487,0.5509166977830958,0.7230786175966994,0.8291997896956025
2021-12-31,0.283859651655377,0.408152814869449,0.6041880206913469,0.7556646080800927,0.8691989964885325
2022-01-31,0.27162894993236986,0.3943894885749132,0.5787407668320143,0.7584094509553911,0.8739875006265632
2022-02-28,0.26476201179105624,0.40829584945941766,0.5872761423545907,0.7578964987406078,0.8623229824588129
2022-03-31,0.33886014814545856,0.49571055990945406,0.6662956377346088,0.8010781097304437,0.8939612517587119
2022-04-29,0.3607856319719776,0.5235408808645232,0.6823547455837846,0.80222154485711,0.8824877799430259
2022-05-31,0.34382691997702153,0.48512811661521565,0.6407253549141744,0.7778669582418369,0.8495774745010183
2022-06-30,0.2990650166610196,0.4378769985014741,0.585567097767397,0.7131560480087193,0.810098130220626
2022-07-29,0.35441740996086557,0.5055856032140695,0.6655591031565888,0.7741594423355505,0.8496602115248021
2022-08-31,0.3173004436957138,0.45911243138818164,0.6299032312485691,0.7755828829136374,0.8629106002328543
2022-09-30,0.3185927844980061,0.4554830625984182,0.6093302143956958,0.7386360024995016,0.8200584745965788
2022-10-31,0.29448967648649066,0.4359819655512489,0.6223010447566388,0.7931105240831251,0.8966495970361426
2022-11-30,0.2954078891002005,0.42488317410466236,0.6184166542720526,0.7685439328022623,0.8657570429555859
2022-12-30,0.33588428243305785,0.4952010159008581,0.6729583131897137,0.7962304303623967,0.8676737698174561
2023-01-31,0.35349427598409566,0.5324756062207027,0.7092388378592066,0.8221224261056554,0.8847700473003312
2023-02-28,0.3065783966336154,0.45976634398023497,0.6217126481993343,0.7597034452502347,0.8452621215065095
2023-03-31,0.2535325920920383,0.36897767910998663,0.5199831504041059,0.6788576861674264,0.7989949994587445
2023-04-28,0.32280313663608634,0.4688978294581804,0.6489067506848194,0.7819076385197418,0.8572800525855683
2023-05-31,0.30942287580218486,0.44754707794379084,0.6064058986518328,0.7556017464311575,0.8367227161160078
2023-06-30,0.3084709426903678,0.4375072705451907,0.5823694719800203,0.7311996382097968,0.823424287666291
2023-07-31,0.2505690731126331,0.36672475442293095,0.5320055023750917,0.703763619780615,0.821904792433134
2023-08-31,0.27640405925540784,0.3992513523535026,0.5599166004535083,0.718376269561028,0.8284831060049487
2023-09-29,0.23069440729123647,0.3564462060819473,0.5348410064769668,0.6864626329976461,0.81172977988293
2023-10-31,0.280289993747553,0.4245321319332518,0.6054643502089206,0.7411353074703608,0.8392391005452193
2023-11-30,0.39050203348779494,0.5190878641948087,0.6690610917869121,0.7988932189315953,0.8809820265153389
2023-12-29,0.31159832404903876,0.47362122384466715,0.6407661813861704,0.7803661727637727,0.8696024327250729
2024-01-31,0.350337972843956,0.4885705925996713,0.651921172464995,0.786404130635822,0.8752243302340881
2024-02-29,0.2768327246164497,0.3960296236058988,0.5511615283399689,0.6949379255279602,0.7821543139503224
2024-03-28,0.3271664345956766,0.4504978014139889,0.5904408819970455,0.7193921618626913,0.8150466038447645
2024-04-30,0.2921176774758228,0.43436508100489846,0.5998819284224713,0.7451833203647791,0.8418562895210169
2024-05-31,0.28234311521602273,0.4011645597013747,0.5556258810334325,0.7076535058729115,0.8059497514816589
2024-06-28,0.29377673604851784,0.4274638791507393,0.5811968320900793,0.729067620871118,0.8404061097661849
2024-07-31,0.2913806729603384,0.43431145760502204,0.5955267154136581,0.7455033728235972,0.8426063517144207
2024-08-30,0.3784221878612977,0.5116997178265309,0.6762296143947979,0.8136724883300143,0.8958544084431848
2024-09-30,0.3539513278578592,0.5103097314273435,0.6790345397657833,0.8051466174177511,0.8751564316307961
2024-10-31,0.36935429098518724,0.5125303279609772,0.6735169156599838,0.7831098124328424,0.8716620567450372
2024-11-29,0.3045630977751885,0.4096281237774141,0.5577897460199153,0.6944631895200379,0.7886269828956609
2024-12-31,0.26597490728127504,0.39692198488879704,0.5423659153233511,0.7023958622105386,0.7979584031077855
2025-01-31,0.2822672641349391,0.4216588706112787,0.5829616565351989,0.7225855703481545,0.820647205747389
2025-02-28,0.26024087113810335,0.38628679018786605,0.5336909736011886,0.6745133629549983,0.7869926852141378
2025-03-31,0.28823897188481884,0.43563716098900285,0.6129814888934833,0.7672722476161646,0.8608114796160865
2025-04-30,0.41445977133657624,0.5404164370892854,0.6736192900272675,0.7732263043963862,0.8420902849755171
2025-05-30,0.3666479332270972,0.5084933861627283,0.6493669250899042,0.7596737437443615,0.8331477350670633
2025-06-30,0.4286879439920323,0.563976428376008,0.7059802557756809,0.8029387036518011,0.8699001089075391
2025-07-31,0.43975433319065654,0.5916532667748169,0.7297377655883712,0.8307986220631219,0.8909291032875983
2025-08-29,0.2924943061931103,0.4021162222804544,0.5606686185640162,0.7055279909857503,0.8206974730823164
2025-09-30,0.2793207820892914,0.40955424447179145,0.5877488071487182,0.7310726892135737,0.8271033419218202
2025-10-31,0.30584964491394184,0.4420023192109921,0.5984456284674977,0.7353128882823952,0.8242492113453349
2025-11-28,0.2929412788669301,0.41202413054431164,0.5624860829167897,0.7061389241874685,0.8243981557307992
2025-12-31,0.34341012732910353,0.474630105506686,0.6287158011789591,0.757149382102226,0.844037993526088
2026-01-30,0.28360283313899376,0.39757725703870667,0.5521537426513818,0.7176292199600923,0.8163150200306741
2026-02-27,0.30453730493499215,0.4636067762485628,0.636892862725865,0.7881759003890246,0.8868476007545397
2026-03-31,0.3260709319367594,0.4962994459934452,0.6877074526921854,0.8454344015642636,0.9134137343547172
2026-04-30,0.30504237831044567,0.4551581912960204,0.6372788923994235,0.7797184377057166,0.8706984442609027
