,0.0–0.1,0.1–0.2,0.2–0.3,0.3–0.4,0.4–0.5,0.5–0.6,0.6–0.7,0.7–0.8,0.8–0.9,0.9–1.0
2021-09-30,0.004542013626040878,0.06283118849356548,0.12414837244511734,0.13626040878122633,0.15215745647236942,0.13701741105223317,0.1453444360333081,0.12944738834216502,0.08932626797880394,0.018925056775170326
2021-10-29,0.0022675736961451248,0.03325774754346183,0.07029478458049887,0.12093726379440665,0.12244897959183673,0.16250944822373395,0.16628873771730915,0.15570672713529857,0.12773998488284202,0.03854875283446712
2021-11-30,0.006019563581640331,0.05869074492099323,0.09857035364936043,0.12490594431903687,0.14446952595936793,0.1399548532731377,0.1399548532731377,0.14823175319789314,0.11286681715575621,0.02633559066967645
2021-12-31,0.0015048908954100827,0.03762227238525207,0.07148231753197894,0.1256583897667419,0.12791572610985705,0.1309255079006772,0.1617757712565839,0.1565086531226486,0.12340105342362678,0.06320541760722348
2022-01-31,0.003762227238525207,0.040632054176072234,0.08276899924755456,0.13167795334838225,0.127163280662152,0.14296463506395787,0.1474793077501881,0.13167795334838225,0.14221218961625282,0.04966139954853273
2022-02-28,0.007518796992481203,0.04360902255639098,0.081203007518797,0.10601503759398496,0.12481203007518797,0.14887218045112782,0.14285714285714285,0.16541353383458646,0.11729323308270677,0.062406015037593986
2022-03-31,0.0022522522522522522,0.02177177177177177,0.04954954954954955,0.07732732732732733,0.10435435435435435,0.1313813813813814,0.17792792792792791,0.18393393393393392,0.16741741741741742,0.08408408408408409
2022-04-29,0.0022522522522522522,0.02177177177177177,0.03003003003003003,0.07582582582582582,0.09009009009009009,0.1388888888888889,0.18018018018018017,0.20495495495495494,0.18993993993993993,0.06606606606606606
2022-05-31,0.0007507507507507507,0.014264264264264264,0.0472972972972973,0.08858858858858859,0.11786786786786786,0.1554054054054054,0.18543543543543545,0.1891891891891892,0.17567567567567569,0.025525525525525526
2022-06-30,0.0,0.0345086271567892,0.06751687921980495,0.10427606901725431,0.14403600900225055,0.18229557389347337,0.19279819954988747,0.16429107276819205,0.09752438109527382,0.012753188297074268
2022-07-29,0.0007496251874062968,0.017241379310344827,0.03973013493253373,0.07796101949025487,0.10344827586206896,0.15142428785607195,0.18515742128935533,0.22713643178410794,0.17466266866566715,0.022488755622188907
2022-08-31,0.0,0.017991004497751123,0.06296851574212893,0.10419790104947527,0.12293853073463268,0.1386806596701649,0.17991004497751126,0.1679160419790105,0.16041979010494753,0.044977511244377814
2022-09-30,0.0,0.017991004497751123,0.06896551724137931,0.08920539730134933,0.14167916041979012,0.1634182908545727,0.19640179910044978,0.1896551724137931,0.11169415292353824,0.020989505247376312
2022-10-31,0.0022488755622188904,0.03373313343328336,0.0712143928035982,0.10569715142428786,0.1176911544227886,0.1409295352323838,0.16266866566716642,0.12668665667166418,0.14617691154422788,0.09295352323838081
2022-11-30,0.0014992503748125937,0.029985007496251874,0.07721139430284858,0.11469265367316342,0.13493253373313344,0.11544227886056972,0.16491754122938532,0.1634182908545727,0.1409295352323838,0.05697151424287856
2022-12-30,0.0007496251874062968,0.025487256371814093,0.04272863568215892,0.08395802098950525,0.10569715142428786,0.13193403298350825,0.15667166416791603,0.2166416791604198,0.17916041979010494,0.05697151424287856
2023-01-31,0.0014992503748125937,0.031484257871064465,0.034482758620689655,0.06146926536731634,0.09070464767616192,0.11244377811094453,0.14992503748125938,0.22113943028485758,0.22638680659670166,0.0704647676161919
2023-02-28,0.0007496251874062968,0.029985007496251874,0.06371814092953523,0.09820089955022489,0.10419790104947527,0.16116941529235382,0.1874062968515742,0.1866566716641679,0.12518740629685157,0.04272863568215892
2023-03-31,0.0029985007496251873,0.04047976011994003,0.10644677661169415,0.1424287856071964,0.17541229385307347,0.16941529235382308,0.1409295352323838,0.12218890554722639,0.07796101949025487,0.021739130434782608
2023-04-28,0.0007496251874062968,0.029985007496251874,0.0472263868065967,0.0952023988005997,0.10419790104947527,0.14767616191904048,0.1724137931034483,0.1889055472263868,0.1701649175412294,0.043478260869565216
2023-05-31,0.003745318352059925,0.026217228464419477,0.06142322097378277,0.09662921348314607,0.1393258426966292,0.16104868913857678,0.1700374531835206,0.17153558052434456,0.1453183520599251,0.024719101123595506
2023-06-30,0.000749063670411985,0.017228464419475654,0.0749063670411985,0.10861423220973783,0.15955056179775282,0.1647940074906367,0.16704119850187266,0.1662921348314607,0.11760299625468165,0.023220973782771534
2023-07-31,0.000749063670411985,0.05468164794007491,0.09812734082397004,0.14382022471910114,0.1550561797752809,0.15655430711610488,0.1355805243445693,0.13183520599250936,0.10112359550561797,0.02247191011235955
2023-08-31,0.0029940119760479044,0.03967065868263473,0.08233532934131736,0.12574850299401197,0.15119760479041916,0.1721556886227545,0.1437125748502994,0.15494011976047903,0.09655688622754491,0.030688622754491017
2023-09-29,0.0074794315632011965,0.06507105459985041,0.1099476439790576,0.12341062079281974,0.13462976813762154,0.17950635751682872,0.14210919970082272,0.12266267763649963,0.08825729244577413,0.02692595362752431
2023-10-31,0.0014958863126402393,0.03889304412864622,0.07404637247569185,0.11069558713537771,0.10845175766641735,0.15557217651458488,0.18848167539267016,0.1637995512341062,0.12341062079281974,0.035153328347045626
2023-11-30,0.0007473841554559044,0.01195814648729447,0.03288490284005979,0.06352765321375187,0.11509715994020926,0.15097159940209268,0.1756352765321375,0.20478325859491778,0.17638266068759342,0.06801195814648729
2023-12-29,0.002242152466367713,0.023168908819133034,0.06502242152466367,0.07997010463378176,0.1218236173393124,0.14798206278026907,0.156203288490284,0.18535127055306427,0.156203288490284,0.06203288490284006
2024-01-31,0.0007468259895444362,0.01194921583271098,0.04929051530993279,0.09111277072442121,0.11053024645257654,0.13890963405526513,0.1859596713965646,0.17998506348020912,0.1672890216579537,0.0642270351008215
2024-02-29,0.0014936519790888724,0.0351008215085885,0.08812546676624347,0.1344286781179985,0.14488424197162061,0.1777445855115758,0.18147871545929797,0.1650485436893204,0.06273338312173264,0.008961911874533234
2024-03-28,0.0007468259895444362,0.016430171769977596,0.06348020911127707,0.10231516056758776,0.14488424197162061,0.1896938013442868,0.1882001493651979,0.17102315160567588,0.10007468259895444,0.02315160567587752
2024-04-30,0.0014936519790888724,0.029873039581777446,0.07468259895444361,0.10306198655713218,0.128454070201643,0.16280806572068707,0.16206123973114264,0.1837191934279313,0.12471994025392083,0.02912621359223301
2024-05-31,0.0029895366218236174,0.029895366218236172,0.08520179372197309,0.12929745889387145,0.15695067264573992,0.16591928251121077,0.16517189835575485,0.15246636771300448,0.08893871449925261,0.023168908819133034
2024-06-28,0.0029895366218236174,0.03736920777279522,0.06502242152466367,0.1031390134529148,0.15396113602391628,0.1726457399103139,0.17862481315396114,0.13228699551569506,0.11509715994020926,0.03886397608370702
2024-07-31,0.002242152466367713,0.03736920777279522,0.06801195814648729,0.10463378176382661,0.1412556053811659,0.1554559043348281,0.16591928251121077,0.16367713004484305,0.13602391629297458,0.025411061285500747
2024-08-30,0.0014947683109118087,0.016442451420029897,0.028400597907324365,0.07399103139013453,0.11285500747384156,0.13602391629297458,0.1741405082212257,0.17937219730941703,0.18385650224215247,0.09342301943198804
2024-09-30,0.0029895366218236174,0.01943198804185351,0.04185351270553064,0.07249626307922272,0.1038863976083707,0.12780269058295965,0.17713004484304934,0.19581464872944693,0.20328849028400597,0.05530642750373692
2024-10-31,0.0,0.014947683109118086,0.04484304932735426,0.0687593423019432,0.10463378176382661,0.13901345291479822,0.1860986547085202,0.2249626307922272,0.1711509715994021,0.045590433482810166
2024-11-29,0.0,0.021674140508221227,0.07174887892376682,0.1397608370702541,0.16367713004484305,0.187593423019432,0.17638266068759342,0.15246636771300448,0.07698056801195814,0.009715994020926755
2024-12-31,0.0029895366218236174,0.03886397608370702,0.09043348281016443,0.12406576980568013,0.1726457399103139,0.16367713004484305,0.15246636771300448,0.1591928251121076,0.07473841554559044,0.02092675635276532
2025-01-31,0.007473841554559043,0.035127055306427506,0.06950672645739911,0.11285500747384156,0.1352765321375187,0.16517189835575485,0.17488789237668162,0.16442451420029897,0.11808669656203288,0.0171898355754858
2025-02-28,0.007473841554559043,0.043348281016442454,0.08221225710014948,0.1352765321375187,0.1711509715994021,0.1920777279521674,0.15695067264573992,0.12780269058295965,0.07174887892376682,0.01195814648729447
2025-03-31,0.0014947683109118087,0.043348281016442454,0.061285500747384154,0.09342301943198804,0.12780269058295965,0.15022421524663676,0.1756352765321375,0.14499252615844543,0.15097159940209268,0.05082212257100149
2025-04-30,0.0,0.00523168908819133,0.017937219730941704,0.059790732436472344,0.10911808669656203,0.16143497757847533,0.2062780269058296,0.25186846038863975,0.16218236173393125,0.026158445440956652
2025-05-30,0.0,0.012705530642750373,0.03811659192825112,0.08370702541106129,0.10612855007473841,0.1741405082212257,0.20254110612855009,0.22047832585949179,0.1397608370702541,0.02242152466367713
2025-06-30,0.0007473841554559044,0.005979073243647235,0.030642750373692077,0.04185351270553064,0.08968609865470852,0.12705530642750373,0.1905829596412556,0.25485799701046336,0.21375186846038863,0.04484304932735426
2025-07-31,0.0,0.004484304932735426,0.025411061285500747,0.04633781763826607,0.06726457399103139,0.11659192825112108,0.16890881913303438,0.24813153961136025,0.24588938714499253,0.07698056801195814
2025-08-29,0.0007473841554559044,0.03288490284005979,0.07623318385650224,0.1352765321375187,0.14573991031390135,0.1898355754857997,0.15844544095665172,0.1397608370702541,0.09566517189835576,0.025411061285500747
2025-09-30,0.004484304932735426,0.03886397608370702,0.07324364723467862,0.1210762331838565,0.12929745889387145,0.15695067264573992,0.1756352765321375,0.16442451420029897,0.10538116591928251,0.030642750373692077
2025-10-31,0.0007473841554559044,0.02914798206278027,0.06278026905829596,0.08968609865470852,0.1517189835575486,0.16890881913303438,0.1920777279521674,0.17040358744394618,0.10837070254110613,0.026158445440956652
2025-11-28,0.0037369207772795215,0.030642750373692077,0.07473841554559044,0.12556053811659193,0.15097159940209268,0.17862481315396114,0.17713004484304934,0.13303437967115098,0.09417040358744394,0.03139013452914798
2025-12-31,0.002242152466367713,0.017937219730941704,0.05082212257100149,0.07847533632286996,0.1367713004484305,0.16591928251121077,0.1905829596412556,0.18385650224215247,0.14349775784753363,0.029895366218236172
2026-01-30,0.0014947683109118087,0.032137518684603884,0.08221225710014948,0.1382660687593423,0.16741405082212257,0.1517189835575486,0.14947683109118087,0.1576980568011958,0.09865470852017937,0.02092675635276532
2026-02-27,0.004484304932735426,0.02466367713004484,0.0687593423019432,0.08744394618834081,0.10612855007473841,0.14648729446935724,0.17189835575485798,0.1554559043348281,0.15844544095665172,0.07623318385650224
2026-03-31,0.002242152466367713,0.02242152466367713,0.053064275037369206,0.08146487294469357,0.09715994020926756,0.11883408071748879,0.14424514200298955,0.14499252615844543,0.20926756352765322,0.12630792227204785
2026-04-30,0.0014947683109118087,0.026158445440956652,0.06726457399103139,0.09715994020926756,0.10762331838565023,0.1375186846038864,0.18310911808669655,0.16890881913303438,0.14648729446935724,0.06427503736920777
