state,ch_idx,SCI,gap,ch_name
baseline,0,0.7588732149745986,0.06647728499342578,E2
baseline,1,0.7591995898798228,0.07074064658014187,E3
baseline,2,0.748765141914709,0.06920471151392,E4
baseline,3,0.7385729107767608,0.06562423305390278,E5
baseline,4,0.7336235791614124,0.06140440322244637,E6
baseline,5,0.7442412765983761,0.06394859663099427,E7
baseline,6,0.7864800412886747,0.07626372416299172,Fp2
baseline,7,0.7671038175934501,0.07481067341867256,E10
baseline,8,0.749574102456058,0.06979116123508362,Fz
baseline,9,0.7364619431422288,0.06385866875862076,E12
baseline,10,0.743287193445033,0.06545341770750948,E13
baseline,11,0.7818837173527944,0.0772919535990993,E15
baseline,12,0.7653626888850581,0.07404192784601416,E16
baseline,13,0.7644256849009533,0.07392558873355128,E18
baseline,14,0.746540977390075,0.06821351831784479,E19
baseline,15,0.7511474956515614,0.06852526634644279,E20
baseline,16,0.7741791519369147,0.073317498855667,Fp1
baseline,17,0.7494977577266313,0.06833137366679835,E23
baseline,18,0.7435295872505052,0.06688323787996445,F3
baseline,19,0.7559480783645989,0.06605838906465165,E26
baseline,20,0.730099843009958,0.06257756936859737,E27
baseline,21,0.7196291477414829,0.05941983058388904,E28
baseline,22,0.738828081119959,0.06460829290035641,E29
baseline,23,0.736510333259708,0.06236530656924527,E30
baseline,24,0.740912746656688,0.06460649399098987,E31
baseline,25,0.7343809116913012,0.06299184385918902,F7
baseline,26,0.7299534730396788,0.06209293061933642,E34
baseline,27,0.7316108350342019,0.062220900937251813,E35
baseline,28,0.7503294858575598,0.06823663712298544,C3
baseline,29,0.7731681069556278,0.07593345070495874,E37
baseline,30,0.7425598252031621,0.06632229632488552,E39
baseline,31,0.7591926202372062,0.06973572295392401,E40
baseline,32,0.7555498157382056,0.07013295780923492,E41
baseline,33,0.7714886745166487,0.07556072846474153,E42
baseline,34,0.7653198573002914,0.07317678796763963,T3
baseline,35,0.7542126208579366,0.0708397029708854,E46
baseline,36,0.7679907686406463,0.0758265935351531,E47
baseline,37,0.7562877584584484,0.0705125542145708,E50
baseline,38,0.7379444730101495,0.06711974785387283,E51
baseline,39,0.7500520337891406,0.07050969960391436,P3
baseline,40,0.7465479449125704,0.06871135641214753,E53
baseline,41,0.7551378510143125,0.07133399945220123,E54
baseline,42,0.7728596517708998,0.07587356482085271,E55
baseline,43,0.7407790406346139,0.06449784667008548,T5
baseline,44,0.7437419869957296,0.0675036430553327,E59
baseline,45,0.7454371972730394,0.06835191191058167,E60
baseline,46,0.7590507920440122,0.07355686078834074,E61
baseline,47,0.7479833413885708,0.06914763532862707,Pz
baseline,48,0.73549490553891,0.06215072543314633,E65
baseline,49,0.7399984788593796,0.06458970350791877,E66
baseline,50,0.725728305065601,0.06143174878612234,E67
baseline,51,0.7189533257428669,0.0572371836955878,O1
baseline,52,0.7395460283136767,0.0644911453768602,E71
baseline,53,0.7311802962054121,0.06272565040290282,E72
baseline,54,0.7162569494782052,0.057593659617564553,Oz
baseline,55,0.7331379532150486,0.06186992980470013,E76
baseline,56,0.7548323052254611,0.07130743616676051,E77
baseline,57,0.7673466147022874,0.0756581702647221,E78
baseline,58,0.7607514442243148,0.07140353771941252,E79
baseline,59,0.7360207148160951,0.06427046307252351,E80
baseline,60,0.7069133974341278,0.055330047328792445,O2
baseline,61,0.7444514423782626,0.06530096848425969,E84
baseline,62,0.764466019530505,0.07359605257865404,E85
baseline,63,0.7693216001192857,0.07536818217093819,E86
baseline,64,0.7641480714522586,0.07432982772262382,E87
baseline,65,0.7284177528043088,0.05919902489062297,E90
baseline,66,0.7449838257028475,0.06522868580565298,E91
baseline,67,0.7632996469758161,0.07344029354993407,P4
baseline,68,0.7677906125320386,0.07480464324071906,E93
baseline,69,0.7537888088390062,0.06686534972809693,T6
baseline,70,0.7613341360776349,0.07128683086590012,E97
baseline,71,0.7597317123137106,0.0700538952441744,E98
baseline,72,0.7294956583732228,0.06212615111119809,E101
baseline,73,0.7456121427625251,0.06717357725550135,E102
baseline,74,0.7595424031326438,0.07019435897188216,E103
baseline,75,0.7497158014940607,0.06720404281814246,C4
baseline,76,0.7509515079138351,0.06649793043466871,E105
baseline,77,0.7437610728289961,0.06576287940214409,E106
baseline,78,0.7408947527833678,0.0665085076836707,T4
baseline,79,0.7429389076886079,0.06670290353286104,E109
baseline,80,0.7421440376096861,0.0661255699276518,E110
baseline,81,0.7486199578170625,0.06727472222260997,E111
baseline,82,0.7337328410882097,0.062364601553932066,E112
baseline,83,0.7412306853404781,0.06581022999642192,E116
baseline,84,0.7259533470866114,0.06295213506442374,E117
baseline,85,0.7435119608302955,0.06672701279864707,E118
baseline,86,0.7377370872751615,0.0624775944801569,F8
baseline,87,0.7373392619031783,0.06552358738206247,E123
baseline,88,0.7469610012330802,0.06871464674781055,F4
baseline,89,0.746006654453667,0.06688447848002492,E115
baseline,90,0.7367250789639495,0.06244515254094961,Cz
mild,0,0.7456491963935619,0.06461659387931126,E2
mild,1,0.7309374430678854,0.06186248215970559,E3
mild,2,0.7227692855650377,0.06093253337380594,E4
mild,3,0.7190774448997547,0.0594096416105518,E5
mild,4,0.7207468995931565,0.05850724725059218,E6
mild,5,0.7150456687172909,0.057245366567043376,E7
mild,6,0.7531052849266788,0.0678889528299023,Fp2
mild,7,0.7267315903336747,0.06166531199093759,E10
mild,8,0.712826094671773,0.05842471875941883,Fz
mild,9,0.7124955689417478,0.058678539058746794,E12
mild,10,0.7128487611698906,0.057961816845088186,E13
mild,11,0.739967801068409,0.06509690681886796,E15
mild,12,0.7246266193978206,0.06130464425081433,E16
mild,13,0.7208413510520325,0.06040590792217868,E18
mild,14,0.7064961981602933,0.056563426413890484,E19
mild,15,0.7123665654742279,0.05806263449367146,E20
mild,16,0.7396669235513195,0.06451282611753574,Fp1
mild,17,0.7288352046360782,0.06128960836279188,E23
mild,18,0.7076934304516737,0.056047404276159576,F3
mild,19,0.7507809275809217,0.0682670058343556,E26
mild,20,0.7117861415308313,0.05857054548273809,E27
mild,21,0.7038269243998587,0.05577074668270436,E28
mild,22,0.7178328403186222,0.05879270509896868,E29
mild,23,0.7139950299483846,0.05750260871613004,E30
mild,24,0.7194582934601091,0.057066656188676214,E31
mild,25,0.7196278510597791,0.06042355000353652,F7
mild,26,0.706105120143387,0.056321898728592425,E34
mild,27,0.7036511530145623,0.05421146305042694,E35
mild,28,0.7181196794339774,0.05947698761412016,C3
mild,29,0.7159288900354488,0.05906121708343297,E37
mild,30,0.7192412214984613,0.05943636579351075,E39
mild,31,0.7047409748664017,0.0555760704033035,E40
mild,32,0.7095022150129319,0.05741611874904377,E41
mild,33,0.722514750222847,0.0604611638522496,E42
mild,34,0.7385866310041466,0.0646276207054468,T3
mild,35,0.7100398466525458,0.05682423827329084,E46
mild,36,0.7200193848482279,0.05907672684965863,E47
mild,37,0.7355083269176285,0.06257111207036777,E50
mild,38,0.694051485500625,0.05073199750450711,E51
mild,39,0.7115124137820967,0.05586607712550427,P3
mild,40,0.7020762254496287,0.05489951525586824,E53
mild,41,0.6885343798035182,0.050807718978046014,E54
mild,42,0.7187561245176528,0.05858916962172615,E55
mild,43,0.6979056575913415,0.05021363444570818,T5
