subject,state,c_obs,c_surr_mean,c_surr_std,gap,z,SCI
02,baseline,0.698237686459007,0.6223578100590209,0.04129712418235975,0.07587987639998614,1.845658240250744,0.7578367004298484
02,mild,0.7132494078167932,0.654017068614895,0.04148339257862993,0.05923233920189844,1.4384174131918133,0.7508590477183908
02,moderate,0.6830563391147201,0.61176249641319,0.043569840348777054,0.0712938427015301,1.6730381885539654,0.77666155600715
02,recovery,0.7353663869592697,0.6663592019915826,0.04133511930280985,0.06900718496768718,1.6772147914372553,0.7598458145736573
03,baseline,0.6721826761329063,0.6042013174740927,0.04494568272490923,0.06798135865881358,1.49523611989116,0.7544099934369569
03,mild,0.7342802695927922,0.6198496853394331,0.046356354881135105,0.11443058425335907,2.5778662998894633,0.8646036635641384
03,moderate,0.8208965648300887,0.6880899103330445,0.03833655669978016,0.13280665449704412,3.5210380464823823,0.942066423476671
03,recovery,0.6909691389966766,0.6214515459110728,0.04505607941898557,0.06951759308560368,1.5476874925048127,0.758301781405879
05,baseline,0.7371924769062204,0.6686197465500195,0.044353641027949496,0.06857273035620072,1.5550469360293826,0.7610320521055066
05,mild,0.6449222072683712,0.5960831847602795,0.04628246548904808,0.048839022508091676,1.097205895049356,0.687151686308711
05,moderate,0.623527065781469,0.5572786929197246,0.04293948727532585,0.06624837286174443,1.582364698216807,0.7628012795869025
05,recovery,0.6834507933096231,0.6650935173054591,0.04507592810873187,0.018357276004163987,0.41844652094723284,0.5693280991874661
06,baseline,0.7032434338724175,0.6603406057820848,0.042043091483047905,0.04290282809033274,1.000176830883238,0.6335343809997597
06,mild,0.655218252127679,0.5715974444320963,0.04397583656059869,0.08362080769558286,1.9579519951591327,0.77625891495434
06,moderate,0.748815502286867,0.6280361238876291,0.04076827060219869,0.12077937839923787,2.9686654965923807,0.9073572956283494
06,recovery,0.6965727124294501,0.6499000348816629,0.04267293846716087,0.04667267754778713,1.1110710455458814,0.6914330495068509
07,baseline,0.7534734068437544,0.6729199085325407,0.038455719414130306,0.08055349831121371,2.0860648744128514,0.8132834598827459
07,mild,0.7648959678675521,0.6838886731487314,0.03800090501678842,0.08100729471882066,2.135817023753702,0.8459381038022259
07,moderate,0.7741739759142077,0.642967758884651,0.040857930698745326,0.13120621702955668,3.235167725249407,0.9272245558458917
07,recovery,0.7906329777401119,0.7044277865358359,0.042636153115831736,0.08620519120427597,1.9513994203055016,0.7746050714000157
08,baseline,0.7052223193516266,0.6000248519010143,0.04531163398951178,0.10519746745061226,2.3924978080339963,0.8362606025974959
08,mild,0.6984453803136663,0.585544439422958,0.04491862688419414,0.11290094089070844,2.5335637516584555,0.8446545625639087
08,moderate,0.7362998601304752,0.6063465019929034,0.04219713545418499,0.12995335813757183,3.0828313394685964,0.9053157918701553
08,recovery,0.7335660612198313,0.6280548046971365,0.04518823391509691,0.10551125652269475,2.363157294434668,0.8474317011333662
09,baseline,0.7626761547644647,0.7453601372950839,0.04429391241850381,0.017316017469380805,0.3612414561333967,0.5527186405021103
09,mild,0.730627312264645,0.711355653605928,0.046802888920554585,0.019271658658716977,0.4211956354097766,0.5831774815375435
09,moderate,0.671900835579081,0.5998392139507326,0.0455926617591458,0.07206162162834841,1.5796781474549901,0.7688057994916435
09,recovery,0.7187693385723469,0.7159701466820039,0.04461811130604004,0.002799191890343048,0.03596350791725534,0.5031400216320492
10,baseline,0.7781742152586205,0.7051199428167952,0.03630724273207303,0.07305427244182523,1.927800788109667,0.7884211440699854
10,mild,0.7770109690044551,0.716960736725511,0.03469177166230318,0.06005023227894411,1.7650719781383433,0.7923714431604496
10,moderate,0.7965081246850236,0.7224688096155282,0.0355730118820287,0.07403931506949542,2.0972794833274175,0.8290585605327278
10,recovery,0.787758617203516,0.6947340331141262,0.04004629643899177,0.09302458408938984,2.325261147828017,0.8333551104014781
13,baseline,0.7191312613566996,0.6879783635792138,0.03937075496996031,0.031152897777485793,0.7798045362943148,0.6464815471593006
13,mild,0.7420071365865283,0.7226164162603206,0.03809721949669608,0.019390720326207703,0.5022927608192952,0.5703115563671021
13,moderate,0.754988998203268,0.6892970559861389,0.03948250803348669,0.06569194221712918,1.5590899840792578,0.7049101527114617
13,recovery,0.728257614870216,0.7152940077177768,0.040470634237234786,0.012963607152439107,0.29981621209198145,0.5560876319237072
14,baseline,0.7025659539617904,0.5684781243475615,0.043936041243854106,0.1340878296142289,3.044623666402213,0.8894612477896109
14,mild,0.6259390417172495,0.5519849161272328,0.04284772177269029,0.07395412559001666,1.7648313807800355,0.7587461769582473
14,moderate,0.7169983208806795,0.5956706131294993,0.041256621984570696,0.12132770775118017,2.99263617733769,0.8795675199865142
14,recovery,0.6865280890845051,0.5685892467176321,0.043807240418284696,0.11793884236687306,2.7122083621823703,0.8616677533646167
18,baseline,0.7133171970758214,0.6601286790734476,0.04383063736425229,0.053188518002373786,1.1863439236696216,0.7046809400038438
18,mild,0.7426283872873869,0.6914722235804754,0.04081968413080071,0.05115616370691142,1.2383011274503182,0.6695279302243221
18,moderate,0.7290257150178218,0.6001062229071423,0.04425637121863347,0.12891949211067938,2.944006233576512,0.8825786224123313
18,recovery,0.7604685800079538,0.6972076191931433,0.04104028856466379,0.06326096081481039,1.515155154007355,0.7402772026537998
20,baseline,0.6757712676102703,0.6395647577619537,0.040867500827897425,0.03620650984831668,0.8906010961401681,0.6547803194171025
20,mild,0.6584308990021883,0.6239560146835036,0.044568205135169695,0.03447488431868479,0.752082040050791,0.6318186661407055
20,moderate,0.7048375739802861,0.5961444942492886,0.04495373950227054,0.10869307973099747,2.464022350955182,0.854611192569454
20,recovery,0.6623662905640025,0.6306552545506632,0.043761067154913694,0.031711036013339376,0.7187027496846466,0.637867394169548
22,baseline,0.7358891204632042,0.6009090713854794,0.045858617025619344,0.13498004907772476,2.949250583410228,0.9081846794861627
22,mild,0.6817742672763977,0.5892357250011625,0.0434084420740231,0.09253854227523516,2.121724457573005,0.8323626396278971
22,moderate,0.6507936812458588,0.5807652432505465,0.04255725783999634,0.07002843799531239,1.634948038689926,0.7578036810972542
22,recovery,0.7192370287962386,0.594530335621999,0.04487112371971645,0.12470669317423964,2.8285861102627465,0.898925175307553
23,baseline,0.7184542253679516,0.7026321706903259,0.04170085055479243,0.015822054677625708,0.34400405995037137,0.559361235790729
23,mild,0.7224268668926727,0.6943411152184072,0.04601542320376313,0.028085751674265413,0.6317610852201969,0.6154874180508976
23,moderate,0.7550323456452551,0.6243406726429653,0.041156540004084724,0.13069167300228973,3.197906426699669,0.9018044163624499
