regime,n,r9,p9
QE / Low-Vol,57,-0.18201839781342477,0.21564426094449196
Normalization,36,-0.1408660792843704,0.48340726573522724
Rate Tightening,24,0.28416090350067835,0.3046879761427324
COVID,12,0.7333283977250151,0.4759316001261711
Post-COVID / Infl.,24,-0.11554077627743578,0.6817736018609756
Current,40,0.6234022788997373,0.0001793691357077274
