date,core,tactical,ineligible,n_instruments
2010-04-30,0.38777660695468913,0.16332982086406744,0.2528977871443625,949
2010-05-31,0.7255520504731862,0.07255520504731862,0.07886435331230283,951
2010-06-30,0.7905759162303665,0.05445026178010471,0.06492146596858639,955
2010-07-30,0.62148070907195,0.08654848800834203,0.13764337851929093,959
2010-08-31,0.365625,0.13854166666666667,0.3302083333333333,960
2010-09-30,0.2372528616024974,0.14880332986472425,0.43496357960457854,961
2010-10-29,0.33575129533678755,0.14922279792746113,0.338860103626943,965
2010-11-30,0.24612202688728024,0.14581178903826267,0.43226473629782836,967
2010-12-31,0.2579979360165119,0.17956656346749225,0.32610939112487103,969
2011-01-31,0.30246913580246915,0.15946502057613168,0.33641975308641975,972
2011-02-28,0.3111566018423746,0.15762538382804503,0.3572159672466735,977
2011-03-31,0.38508682328907046,0.1317671092951992,0.3105209397344229,979
2011-04-29,0.29489795918367345,0.15510204081632653,0.3326530612244898,980
2011-05-31,0.20651068158697863,0.17599186164801628,0.44252288911495424,983
2011-06-30,0.21681864235055726,0.1762917933130699,0.46200607902735563,987
2011-07-29,0.282103134479272,0.16177957532861476,0.38018200202224467,989
2011-08-31,0.879154078549849,0.026183282980866064,0.04833836858006042,993
2011-09-30,0.858148893360161,0.03621730382293763,0.047283702213279676,994
2011-10-31,0.6606425702811245,0.07530120481927711,0.09839357429718876,996
2011-11-30,0.20741482965931865,0.18637274549098196,0.43887775551102204,998
2011-12-30,0.20359281437125748,0.17065868263473055,0.468063872255489,1002
2012-01-31,0.6113320079522863,0.09145129224652088,0.16003976143141152,1006
2012-02-29,0.689175769612711,0.06951340615690169,0.13108242303872888,1007
2012-03-30,0.5680238331678252,0.11221449851042702,0.1628599801390268,1007
2012-04-30,0.22673267326732674,0.15247524752475247,0.4405940594059406,1010
2012-05-31,0.17044334975369457,0.15566502463054188,0.5310344827586206,1015
2012-06-29,0.28121927236971483,0.15142576204523106,0.39823008849557523,1017
2012-07-31,0.1743388834476004,0.15083251714005877,0.5112634671890304,1021
2012-08-31,0.39100684261974583,0.14760508308895406,0.28641251221896386,1023
2012-09-28,0.3935546875,0.1396484375,0.2763671875,1024
